iso,year,log_gdppc,bottom40_share
MLT,2016,10.164678050753091,22.0
MLT,2017,10.259294747390365,21.9
MLT,2018,10.293391930920295,22.2
MLT,2019,10.292912977147441,21.299999999999997
MLT,2020,10.23501211678321,21.0
MLT,2021,10.355184099191574,21.200000000000003
MLT,2022,10.356071324875137,19.6
MLT,2023,10.417203511533016,20.6
MNE,2005,8.510708783202205,21.5
MNE,2006,8.591657749908888,21.3
MNE,2007,8.659219984894689,20.6
MNE,2008,8.724155764719773,21.4
MNE,2009,8.66019412347567,21.3
MNE,2010,8.685739488027894,21.799999999999997
MNE,2011,8.717789619015496,21.299999999999997
MNE,2012,8.69087357481033,14.4
MNE,2013,8.722294744745602,15.600000000000001
MNE,2014,8.743864627239612,15.7
MNE,2015,8.767329156720102,15.899999999999999
MNE,2016,8.80002079578283,16.4
MNE,2017,8.830675800193273,16.9
MNE,2018,8.876190925394813,16.8
MNE,2019,8.91868941734561,17.6
MNE,2020,8.756517427251728,17.9
MNE,2021,8.881600336407983,18.3
MNG,1995,7.312730235057171,19.4
MNG,1998,7.362440402770404,20.8
MNG,2002,7.426937897613762,19.7
MNG,2007,7.784774548051303,18.7
MNG,2010,7.86774639284731,19.9
MNG,2011,8.00996655907954,19.8
MNG,2012,8.107167188010816,19.6
MNG,2014,8.25071379070713,20.7
MNG,2016,8.247460953034002,20.4
MNG,2018,8.338988508131704,20.200000000000003
MNG,2022,8.344240143608863,20.799999999999997
MOZ,1996,5.425824026152221,11.600000000000001
MOZ,2002,5.829343686083938,14.8
MOZ,2008,6.133283708601263,14.8
MOZ,2014,6.372067668344984,11.8
MOZ,2019,6.425094800688096,12.7
MOZ,2022,6.390386010393377,13.3
MRT,1987,7.3068122704000205,13.7
MRT,1993,7.258774671128621,13.899999999999999
MRT,1995,7.2599591686008536,17.6
MRT,2000,7.176186323850898,16.8
MRT,2004,7.201930669790764,17.2
MRT,2008,7.325186322170231,18.0
MRT,2014,7.329391204921639,19.9
MRT,2019,7.383463830237113,20.3
MYS,1984,8.208046666965744,13.0
MYS,1987,8.162804057512634,13.6
MYS,1989,8.282436141873417,14.0
MYS,1992,8.460863634581017,13.100000000000001
MYS,1995,8.660661668195443,12.8
MYS,1997,8.776561664448847,12.5
MYS,2003,8.814764280155496,13.299999999999999
MYS,2006,8.918624935385537,14.1
MYS,2008,8.984207087579115,13.7
MYS,2011,9.036025375384428,14.600000000000001
MYS,2013,9.101061885413454,15.899999999999999
MYS,2015,9.17457637603625,15.899999999999999
MYS,2018,9.269570612593471,15.7
MYS,2021,9.248432247470918,16.1
NER,1992,6.097248717464506,19.1
NER,1994,6.05506709934062,16.3
NER,2005,6.009282193524459,15.6
NER,2007,6.02446191192748,19.1
NER,2011,6.075314455587776,21.6
NER,2014,6.179489076453245,19.6
NER,2018,6.241101429750416,19.0
NER,2021,6.255582563253701,21.1
NGA,1985,7.264679391618522,16.4
NGA,1992,7.359588716971446,12.9
NGA,1996,7.255663231207413,11.4
NGA,2003,7.448458786767408,16.1
NGA,2010,7.747366572588008,18.4
NGA,2012,7.784745308155398,18.5
NGA,2015,7.857764540382057,18.3
NGA,2018,7.796378193844972,18.7
NGA,2022,7.720590703201436,19.5
NIC,1993,7.069972219353498,8.7
NIC,1998,7.204946566177612,10.5
NIC,2001,7.301360450231303,11.6
NIC,2005,7.378688293137505,13.3
NIC,2009,7.411991413446985,14.899999999999999
NIC,2014,7.604221294344823,14.299999999999999
NLD,1983,10.171216020172121,22.700000000000003
NLD,1987,10.252937405043541,23.6
